,Unnamed: 0.1,id,Star_name_x,Distance_x,Unnamed: 0,Star_name_y,Distance_y,Mass,Radius,Gravity
70,70,70,Schedar,0230,70,2MASS J06411840-4322329 [de],65.0,1.27211260644e+29,72207141.291,239583025378629.9
71,71,71,Naos,"1,080",71,DENIS-P J0652197-253450 [de],51.0,1.4240066489999998e+29,75066830.055,248145643404142.88
72,72,72,Almach,0350,72,2MASS J07003664+3157266 [de],40.0,,,
73,73,73,Caph,0054,73,2MASS J07075327-4900503,60.0,1.36704638304e+29,73636985.673,247560890733287.62
74,74,74,Izar,0202,74,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71799994,98751837681240.72
75,75,75,—,0550,75,2MASSI J0727182+171001 [de],29.6,7.784569681199999e+28,67202685.95399994,169259143594021.25
76,76,76,—,0380,76,2MASS J07290002-3954043 [de],25.8,7.0250994684e+28,67202685.95399994,152746056414116.75
77,77,77,Dschubba,0400,77,SDSS J074201.41+205520.5 [de],49.0,8.1643047876e+28,67202685.95399994,177515687183973.53
78,78,78,Larawag,0065,78,2MASS J0746425+200032 [fr],49.6,,,
79,79,79,—,0310,79,DENIS-P J0751164-253043 [de],55.0,1.3480596277199998e+29,73636985.673,244122545028658.62
80,80,80,Merak,0079,80,2MASS J07522390+1612157,60.0,1.2910993617600001e+29,143699360.39099994,61396100380382.02
81,81,81,Ankaa,0077,81,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.95399994,181643958978949.7
82,82,82,Girtab,0460,82,DENIS J082303.1−491201A,67.0,8.3541723408e+28,,
83,83,83,Enif,0670,83,DENIS J082303.1−491201B,67.0,5.3162914895999995e+28,,
84,84,84,Scheat,0200,84,2MASS J08251968+2115521 [de],35.0,9.873112766399999e+28,70062374.71799994,197503675362481.44
85,85,85,Sabik,0088,85,SDSSp J083008.12+482847.4 [de],43.0,9.113642553599999e+28,70777296.90899992,178646634002615.62
86,86,86,Phecda,0084,86,LHS 2021,55.0,1.67083446816e+29,82216051.96499993,242723027831833.5
87,87,87,Aludra,"2,000",87,SDSS J083048.80+012831.1 [de],77.0,8.733907447199999e+28,68632530.33599994,182070403721659.84
88,88,88,Markeb,0540,88,2MASSI J0835425-081923 [de],23.53,1.1771788298400001e+29,71492219.1,226159939398535.88
89,89,89,–,0610,89,2MASSI J0847287-153237 [de],43.0,1.21515234048e+29,71492219.1,233455421314617.62
90,90,90,Markab,0140,90,2MASS J08533619-0329321,27.6,1.46198015964e+29,76496674.437,245328023206523.94
91,91,91,Aljanah,0072,91,2MASSI J0859254-194926 [de],50.0,9.493377659999999e+28,70062374.71799994,189907380156232.16
92,92,92,Acrab,0404,92,2MASSW J0920122+351742 [de],95.0,,,
